1712928098.593975	0	348.156,53.444,19,0.848083	344.667,72.2954,20,0.961467	336.927,72.3064,20,0.848949	322.04,83.7506,20,0.81656	329.476,102.515,22,0.805842	352.292,72.2891,20,0.870327	371.019,87.413,21,0.851869	371.058,102.615,22,0.873062	344.731,106.517,21,0.943894	340.763,106.463,20,0.912002	340.819,140.38,22,0.836671	340.703,166.808,23,0.796574	348.582,106.514,21,0.910294	348.314,140.435,22,0.893237	344.715,166.951,23,0.855818	344.63,49.6683,19,0.874227	348.29,49.7076,19,0.841276	344.344,49.8093,19,0.705097	348.545,53.3951,19,0.607352	348.212,174.464,24,0.602902	348.39,170.786,24,0.582399	344.632,170.705,24,0.666442	340.793,174.409,23,0.656353	337.049,170.729,24,0.644419	336.984,170.578,24,0.624138
1712928098.639163	0	344.779,53.3727,19,0.870946	344.672,72.297,19,0.9763	333.277,72.3222,20,0.855578	321.958,83.7214,21,0.836584	329.491,102.493,22,0.830907	355.891,72.3009,20,0.874894	371.064,87.4683,20,0.855841	370.971,102.608,22,0.897684	344.767,106.52,20,0.951705	340.786,106.466,21,0.924495	340.843,140.409,22,0.829695	340.715,166.875,23,0.801436	352.079,106.509,20,0.910766	348.388,140.477,22,0.894821	344.754,167.019,23,0.857838	344.616,49.6131,19,0.896393	348.293,49.6548,19,0.866017	344.329,49.7823,19,0.706835	348.584,49.7593,19,0.663525	348.262,174.519,23,0.612101	348.443,174.415,23,0.590239	344.677,170.764,23,0.669823	340.816,174.487,23,0.652235	337.079,170.795,24,0.637963	337.003,170.636,24,0.635557
1712928098.684374	0	348.201,53.39,19,0.870934	344.667,72.3114,19,0.970807	336.949,72.3253,20,0.85813	322.052,83.777,20,0.827543	333.206,102.572,21,0.834943	352.284,72.3203,19,0.876007	370.882,87.4514,20,0.797837	367.236,102.463,22,0.848201	344.714,106.541,20,0.952119	340.773,106.48,20,0.923317	340.786,140.356,22,0.827961	340.705,166.801,23,0.778251	348.533,106.542,20,0.921831	348.29,140.436,22,0.897871	344.705,166.919,23,0.84681	344.691,49.6216,19,0.898175	348.351,49.6716,19,0.861269	344.382,49.758,19,0.742798	348.611,53.4019,19,0.582317	344.713,174.406,23,0.612134	348.363,170.74,23,0.592802	344.623,170.67,23,0.659887	340.746,174.394,23,0.634325	337.048,170.722,23,0.622456	336.958,170.585,23,0.608558
1712928098.762301	0	348.234,53.4886,19,0.881989	344.678,72.3747,19,0.99279	336.918,72.3819,20,0.884532	322.051,91.2167,20,0.842141	333.292,102.52,20,0.8095	355.874,72.3868,19,0.887272	370.892,91.213,21,0.817943	363.49,102.48,21,0.83156	344.679,110.093,20,0.938889	340.703,106.553,21,0.901885	340.734,140.401,22,0.81788	340.663,166.797,23,0.803689	348.505,110.089,21,0.916177	348.279,140.512,22,0.890758	344.737,166.945,23,0.875152	344.712,49.6881,19,0.913736	348.391,49.7558,19,0.868319	344.36,49.826,19,0.789161	352.114,53.5131,19,0.561291	348.226,174.483,23,0.646403	348.409,170.786,24,0.627191	344.667,170.686,23,0.694332	340.735,174.355,23,0.661833	336.983,170.7,24,0.655149	336.933,167.067,24,0.635354
1712928098.80913	0	348.268,53.4516,19,0.873227	344.733,72.3167,19,0.967393	337.002,72.3216,20,0.871308	325.624,87.4728,20,0.822582	333.262,102.521,21,0.784509	355.948,72.3385,19,0.860365	370.919,87.5069,20,0.803628	363.459,102.484,21,0.814005	344.706,106.488,20,0.954599	340.722,106.425,20,0.915444	340.679,136.758,22,0.830248	337.075,166.758,24,0.7954	348.558,106.495,20,0.919432	348.306,140.361,22,0.898088	344.729,166.901,23,0.876481	344.747,49.6534,19,0.90038	348.434,49.7129,19,0.863024	344.409,49.7954,19,0.772764	352.151,53.4858,19,0.564603	348.211,174.481,24,0.618368	348.404,170.788,24,0.60957	344.648,170.631,24,0.698797	337.063,170.783,24,0.64827	333.273,170.675,24,0.643472	0,0,0,0
1712928098.855655	0	348.263,53.449,19,0.85886	344.773,72.2846,19,0.953473	340.649,72.2719,19,0.855078	325.697,83.7469,20,0.804075	333.203,102.45,21,0.777104	355.915,72.3144,19,0.845262	367.223,87.5058,20,0.770784	359.728,102.478,20,0.802093	344.703,106.428,20,0.959774	340.758,106.36,20,0.919282	340.78,136.681,21,0.834261	340.653,166.696,23,0.759692	348.499,106.443,20,0.922557	348.234,136.771,22,0.902568	344.717,166.86,23,0.862808	344.779,49.6638,19,0.883186	348.418,49.7063,19,0.8542	344.466,49.7784,19,0.728503	352.099,53.447,19,0.579973	344.689,174.459,23,0.616585	348.342,170.781,24,0.609621	344.64,170.611,23,0.692422	337.038,170.715,24,0.613468	336.939,170.609,24,0.607137	333.266,167.004,24,0.586558
1712928098.902291	0	348.29,53.5059,19,0.870349	344.76,72.3163,19,0.9742	337.042,72.3111,19,0.880004	322.013,83.7583,20,0.836162	321.982,102.555,22,0.825521	355.948,72.3596,19,0.876136	367.253,87.5049,20,0.798374	363.475,102.506,20,0.818539	344.699,106.488,21,0.96997	340.725,106.426,21,0.925882	340.751,136.744,22,0.863222	340.703,166.72,24,0.809158	348.525,106.49,20,0.942441	348.273,140.341,22,0.924488	344.733,166.863,24,0.891011	344.788,49.7043,19,0.891686	348.445,49.7697,19,0.858513	344.461,49.8203,19,0.751311	352.165,57.1656,19,0.598593	344.705,174.421,23,0.65028	348.359,170.737,24,0.639893	344.663,170.592,23,0.712978	337.076,170.725,24,0.63878	336.982,170.625,24,0.645308	336.962,167.003,25,0.628249
1712928098.949642	0	348.308,53.502,19,0.864851	348.193,72.298,19,0.965312	337.071,72.2917,19,0.87527	321.979,83.7139,20,0.834217	321.915,102.491,22,0.827779	356.011,72.3475,19,0.869575	367.308,87.4822,20,0.799035	363.548,102.494,20,0.811718	344.746,106.465,20,0.965744	340.764,106.405,20,0.926525	340.806,136.753,21,0.866669	340.749,166.739,23,0.817129	348.593,106.459,20,0.931432	348.337,140.321,22,0.922779	344.765,166.893,23,0.881131	348.153,49.6941,19,0.887206	348.467,49.7512,19,0.856142	344.473,49.8138,19,0.733464	352.212,53.5092,19,0.599055	348.211,174.422,24,0.643894	348.417,170.748,24,0.625154	344.699,170.635,23,0.69887	340.735,170.763,23,0.640778	337.07,170.646,24,0.643859	337.032,167.027,24,0.638562
1712928098.981435	0	348.307,53.4494,19,0.869821	344.762,72.278,19,0.955129	337.024,72.2825,20,0.870586	321.892,83.7328,20,0.83426	321.859,102.527,22,0.804406	356.008,72.3257,19,0.863985	367.319,87.4488,20,0.795066	367.173,102.477,21,0.788611	344.716,106.51,20,0.950203	340.695,106.451,20,0.90838	340.725,140.394,22,0.84096	340.747,166.897,24,0.814002	348.596,106.504,20,0.917775	348.33,140.423,22,0.910965	344.748,167.038,23,0.878629	344.784,49.6495,19,0.896426	348.477,49.7028,19,0.860813	344.455,49.7584,19,0.753721	352.215,53.4499,19,0.58353	344.7,178.199,23,0.636857	348.361,174.499,23,0.619894	344.679,170.785,23,0.702504	340.748,174.506,23,0.630453	337.066,170.812,24,0.630263	337.059,170.649,24,0.632021
1712928099.027608	0	348.234,53.5145,19,0.839625	344.776,72.3096,19,0.944548	340.713,72.3032,19,0.85846	329.393,83.7205,20,0.77839	329.466,102.469,22,0.757397	355.861,72.3434,19,0.840787	363.526,87.5113,20,0.757011	355.969,102.495,20,0.762215	344.771,106.447,20,0.948796	340.838,106.391,20,0.918604	344.341,136.766,22,0.835441	344.315,166.723,23,0.764813	348.564,106.448,20,0.904945	348.269,136.788,22,0.911385	344.783,166.913,23,0.831742	344.753,49.7178,20,0.865088	348.375,49.7536,19,0.838378	344.455,53.3854,20,0.695527	348.609,53.4481,19,0.584352	344.698,174.412,23,0.576377	348.375,170.769,23,0.571925	344.722,170.679,23,0.652503	344.386,170.665,23,0.60029	340.781,167.083,23,0.597163	340.699,167.033,23,0.566806
