1712927329.632507	0	344.795,72.1729,19,0.895397	344.667,76.3428,19,0.944817	333.303,76.2468,19,0.862644	321.89,102.438,21,0.925929	318.249,121.418,21,0.860279	352.247,79.8239,19,0.869815	363.421,102.537,19,0.854202	363.41,121.503,20,0.799663	344.539,121.498,19,0.882701	340.629,121.424,20,0.810703	333.295,144.252,21,0.762791	336.984,167.039,22,0.706338	348.279,121.461,19,0.870156	344.772,147.985,21,0.870036	344.581,170.594,22,0.844148	344.633,68.4793,19,0.878724	348.279,68.5287,19,0.848188	344.378,68.5992,19,0.687907	348.46,68.631,19,0.625817	344.576,185.701,22,0.656181	348.235,178.285,22,0.661614	344.463,174.472,22,0.665461	333.205,174.435,22,0.632205	329.446,174.437,22,0.622261	333.155,174.43,22,0.535367
1712927329.680039	0	348.158,72.1455,19,0.906816	344.657,76.304,19,0.952896	333.264,76.2181,19,0.86949	321.852,102.42,21,0.940992	318.223,121.415,22,0.869409	352.276,76.3439,19,0.876972	363.455,102.507,19,0.861206	363.492,121.486,20,0.816471	344.509,121.418,19,0.875787	337.024,117.692,19,0.809467	333.221,144.171,21,0.777065	336.903,166.995,22,0.724206	348.277,117.777,19,0.869076	344.776,144.271,21,0.871023	344.552,167.045,22,0.848134	344.635,68.4431,19,0.891374	348.301,68.4971,19,0.861389	344.374,68.557,19,0.709024	348.489,68.6039,19,0.635086	344.575,181.989,22,0.640626	348.22,178.169,22,0.651586	344.45,170.823,22,0.663004	333.177,174.454,22,0.643134	325.775,174.438,23,0.639137	0,0,0,0
1712927329.727874	0	348.165,72.1467,19,0.900182	344.66,76.2903,19,0.947916	333.259,76.1841,19,0.86325	318.34,102.374,22,0.925186	318.192,117.718,21,0.857734	352.264,76.3452,19,0.873476	363.426,102.505,19,0.858749	363.426,121.495,20,0.809916	344.478,121.422,20,0.874811	336.956,117.679,19,0.803533	333.221,144.168,22,0.774216	333.237,166.997,22,0.718165	348.25,121.405,20,0.872198	344.78,144.248,21,0.870638	344.553,167.062,22,0.841562	344.647,68.4481,19,0.884314	348.311,68.5072,19,0.855699	344.382,68.5348,19,0.690995	348.507,68.6307,19,0.629972	344.59,181.99,22,0.626595	348.23,178.192,22,0.632858	344.447,174.378,22,0.656891	329.505,174.429,23,0.641995	325.735,174.443,23,0.637579	329.412,170.778,23,0.562042
1712927329.775259	0	344.794,72.2015,19,0.883317	344.671,76.3529,19,0.930451	336.921,76.2449,19,0.848443	321.84,102.424,21,0.908659	318.245,121.511,22,0.843471	352.228,79.8277,19,0.858101	359.667,102.536,19,0.843686	355.977,121.537,20,0.795033	344.496,121.454,20,0.866579	337.014,117.73,20,0.795301	333.275,144.148,20,0.754175	336.899,166.932,22,0.686723	348.245,121.43,20,0.864439	344.764,144.257,21,0.849519	344.544,167.02,22,0.820614	344.628,68.5199,19,0.860566	348.277,68.5686,18,0.836524	344.376,68.6184,19,0.658051	348.466,72.1423,18,0.623916	344.545,181.975,22,0.619001	348.213,178.189,22,0.627277	344.441,170.813,22,0.637677	329.494,170.794,23,0.624388	325.753,170.822,24,0.611377	0,0,0,0
1712927329.823104	0	344.795,72.1863,19,0.885116	344.67,76.3479,19,0.931687	336.909,76.231,19,0.84832	318.355,102.422,21,0.901117	318.239,121.51,22,0.830438	352.228,79.835,19,0.858357	359.667,102.551,19,0.849565	355.914,121.514,19,0.794883	344.48,121.446,19,0.859887	336.982,117.718,19,0.790109	333.298,144.122,21,0.754499	336.922,166.938,22,0.687878	348.233,121.424,19,0.860621	344.764,144.214,21,0.845017	344.543,167,22,0.821157	344.631,68.495,19,0.862214	348.28,68.5498,19,0.839804	344.378,68.5871,19,0.65448	348.476,72.1334,19,0.632477	344.563,181.928,22,0.605267	348.225,178.149,22,0.611738	344.442,170.797,22,0.630618	333.19,170.819,22,0.621114	329.426,174.371,23,0.608877	0,0,0,0
1712927329.870115	0	344.795,72.2304,19,0.846518	344.708,79.8404,19,0.917762	337.027,76.2821,19,0.833023	321.883,102.445,21,0.882368	318.294,121.486,21,0.816045	352.217,79.8876,19,0.836773	356.001,102.564,19,0.808535	352.194,117.704,19,0.771686	344.508,121.51,19,0.861277	337.061,121.414,19,0.788753	336.94,144.204,21,0.733714	336.957,166.997,22,0.645035	348.239,121.468,19,0.85617	344.74,147.901,21,0.834221	344.531,167.028,22,0.797331	344.635,68.5678,19,0.818649	348.253,68.6114,19,0.801694	344.394,72.1179,19,0.608278	348.46,72.1633,19,0.61189	344.492,182.036,22,0.598843	344.76,178.266,22,0.599066	344.417,174.408,22,0.60941	333.211,174.394,22,0.594208	329.468,174.43,22,0.574823	0,0,0,0
1712927329.91718	0	348.142,72.2155,19,0.883497	344.705,79.8212,19,0.930393	337,76.2683,19,0.858473	321.881,102.449,21,0.907804	318.284,121.493,22,0.837456	352.268,79.8748,19,0.851218	359.689,102.546,19,0.830637	355.884,117.719,20,0.783079	344.509,121.532,19,0.871108	337.045,121.431,19,0.798771	333.247,144.257,21,0.74933	336.916,167.043,22,0.680434	348.264,121.493,20,0.864902	344.748,147.964,21,0.85647	344.538,170.579,22,0.821552	344.63,68.5428,19,0.86152	348.287,68.5894,19,0.838561	344.396,72.0994,19,0.628758	348.494,72.1637,19,0.639114	344.504,185.692,22,0.618224	344.756,181.943,22,0.62352	344.439,174.422,22,0.647419	329.542,174.408,23,0.618138	329.408,174.465,23,0.605517	329.454,174.385,23,0.518643
1712927329.964252	0	348.165,72.2223,19,0.894051	344.715,76.3776,19,0.934521	337.03,76.2538,19,0.867228	321.908,102.446,21,0.917411	318.273,121.459,22,0.851947	352.274,79.9102,19,0.846032	359.671,102.557,19,0.827193	355.881,117.705,19,0.785208	344.509,121.512,19,0.874192	337.033,117.781,19,0.800061	333.292,144.173,21,0.748517	336.934,166.956,23,0.669146	348.252,121.48,19,0.867537	344.777,147.906,21,0.852567	344.565,167.006,22,0.827996	344.663,68.5515,19,0.874678	348.31,68.6038,19,0.848228	344.424,72.1053,19,0.653437	348.513,72.1858,19,0.64199	344.549,181.975,22,0.62974	348.207,178.17,22,0.638222	344.458,170.813,22,0.639851	329.538,170.781,24,0.613301	329.426,170.817,24,0.595254	0,0,0,0
1712927330.011874	0	348.19,72.2275,19,0.899179	344.712,79.8359,19,0.935027	336.988,76.2656,19,0.869552	321.862,102.456,21,0.926691	318.252,121.446,22,0.859766	352.299,79.9137,19,0.853924	359.63,102.581,19,0.843043	355.856,121.414,19,0.801298	344.493,121.542,19,0.880633	337.025,121.423,19,0.803297	333.266,144.189,22,0.762278	336.921,167.009,22,0.702146	348.237,121.514,19,0.876687	344.788,147.929,21,0.866293	344.578,167.042,22,0.859393	344.671,68.5519,19,0.881794	348.343,68.6034,19,0.852572	344.428,72.1018,19,0.661929	348.552,72.192,19,0.632655	344.552,182.007,22,0.659876	348.221,178.204,22,0.663367	344.472,174.382,22,0.674611	333.18,174.409,22,0.64235	329.427,174.429,23,0.626753	329.466,174.365,23,0.541339
1712927330.05898	0	348.182,72.2427,19,0.893059	344.709,79.873,19,0.934056	337,76.2953,19,0.861898	321.839,102.486,21,0.918302	318.275,121.524,22,0.844231	352.272,79.9459,19,0.855779	359.641,102.625,19,0.846057	352.322,121.502,19,0.805806	344.491,125.235,19,0.886255	337.021,121.534,20,0.803376	336.939,147.887,21,0.753184	337.011,167.016,22,0.688387	348.216,125.204,19,0.881777	344.766,148.003,21,0.854338	344.567,167.065,22,0.837349	344.671,68.5737,19,0.876606	348.329,68.6192,19,0.844644	344.429,72.1317,19,0.663566	348.535,72.1999,19,0.62893	344.532,182.023,22,0.648493	348.19,178.251,22,0.645666	344.464,174.428,22,0.656601	333.242,174.404,22,0.632681	329.496,174.434,23,0.612462	333.16,174.387,22,0.518636
