1712928079.676271	0	348.268,53.4071,19,0.893999	344.74,72.4158,19,0.996424	336.938,72.3802,19,0.891271	321.913,95.0665,21,0.890283	318.266,114.001,21,0.865656	356.025,72.4733,19,0.875422	370.964,98.6589,21,0.848714	367.201,110.198,21,0.827799	344.572,110.276,20,0.896509	336.973,110.183,20,0.854716	337.018,147.903,22,0.762407	340.733,167.093,22,0.747419	348.466,110.304,20,0.889549	344.752,147.968,22,0.866986	344.488,170.604,22,0.816877	344.721,49.6555,19,0.923166	348.459,49.6639,19,0.88389	344.41,49.7512,19,0.778104	352.224,53.4031,19,0.633359	344.435,181.936,23,0.561974	344.63,174.512,23,0.58881	344.384,174.412,23,0.624266	340.851,181.952,23,0.609198	340.68,181.947,23,0.601296	337.018,174.448,23,0.543309
1712928079.712467	0	348.253,53.4529,19,0.879318	344.738,72.422,19,0.988556	337.007,72.39,19,0.882096	321.976,94.999,21,0.85976	318.31,113.934,21,0.852289	355.917,72.4836,19,0.873916	367.327,98.6497,21,0.823148	363.463,110.16,20,0.809924	344.558,110.262,19,0.893956	337.013,110.17,20,0.846553	340.625,144.25,22,0.758268	340.774,167.019,22,0.692627	348.388,110.3,20,0.886752	344.715,147.958,22,0.868549	344.506,167.05,22,0.784555	344.736,49.6959,19,0.905766	348.426,49.7128,19,0.863372	344.433,49.8017,19,0.754646	352.155,53.4563,19,0.603212	344.448,178.211,23,0.544335	344.656,174.43,23,0.571089	344.406,174.4,23,0.59317	340.85,178.183,23,0.576552	340.729,178.186,23,0.5623	337.048,170.797,23,0.496358
1712928079.759744	0	348.256,53.4277,19,0.897241	344.733,72.4511,19,0.992405	336.928,72.4117,19,0.889823	321.881,98.6573,22,0.893935	318.268,113.983,22,0.870171	356.017,72.5011,19,0.875993	370.945,98.6875,21,0.84457	367.155,110.152,21,0.832091	344.533,113.9,20,0.890072	336.928,110.247,20,0.844881	336.943,147.933,22,0.76539	340.655,170.599,23,0.734123	348.403,113.95,20,0.889143	344.689,151.669,22,0.873157	344.458,170.644,23,0.801869	344.714,49.6706,19,0.924816	348.451,49.6852,19,0.887802	344.406,49.7858,19,0.76944	352.218,53.4215,19,0.647744	344.393,181.947,22,0.556139	344.596,174.523,23,0.585643	344.375,174.434,23,0.620065	340.757,181.972,23,0.609767	337.028,181.964,23,0.598694	336.924,174.478,23,0.5361
1712928079.806848	0	348.252,53.3817,19,0.895713	344.747,72.4001,19,0.992795	336.942,72.3707,19,0.888819	321.926,95.0199,21,0.881227	318.243,113.989,22,0.869777	356.028,72.4481,19,0.872314	370.983,95.0959,21,0.850587	367.199,110.197,21,0.829033	344.587,110.253,20,0.900881	336.998,110.154,20,0.857627	336.974,144.262,22,0.760417	340.683,167.055,22,0.739153	348.477,110.285,20,0.89123	344.759,147.975,22,0.871209	344.506,170.592,22,0.822457	344.704,49.6346,19,0.922541	348.444,49.6386,19,0.889408	344.397,49.7416,19,0.760036	352.224,49.8075,19,0.655913	344.47,178.281,23,0.571595	344.661,174.478,22,0.602472	344.412,174.4,22,0.634535	340.766,178.273,23,0.599922	337.041,178.241,23,0.588402	336.959,174.41,23,0.538364
1712928079.853638	0	348.256,53.3921,19,0.896991	344.75,72.4045,19,0.993531	336.968,72.3747,19,0.890443	321.951,95.0644,22,0.880816	318.308,113.952,22,0.868725	356.022,72.4545,19,0.872496	370.972,95.0837,21,0.84893	367.176,110.161,22,0.828123	344.601,110.288,20,0.901752	337.023,110.198,20,0.8558	340.617,147.945,22,0.766178	340.731,167.099,22,0.704528	348.47,113.866,20,0.891107	344.765,147.99,22,0.876469	344.509,170.61,22,0.784431	344.718,49.645,19,0.924219	348.446,49.6541,19,0.888432	344.417,49.7533,19,0.763288	352.213,53.386,19,0.654849	344.458,178.247,23,0.542119	344.661,174.468,23,0.568164	344.414,174.422,23,0.594444	340.836,181.907,22,0.581067	340.676,178.285,23,0.570159	337.02,174.439,23,0.510994
1712928079.901434	0	348.237,53.3861,19,0.888715	344.747,72.4267,19,0.994624	336.947,72.3972,19,0.883738	321.885,95.0673,21,0.874139	318.275,113.978,22,0.856675	355.993,72.4732,19,0.871954	370.983,98.6859,21,0.847764	367.242,110.204,22,0.82529	344.574,113.937,20,0.887302	336.987,110.296,20,0.835167	337.086,148.002,22,0.763434	340.756,167.101,22,0.692279	348.427,113.976,20,0.878139	344.713,151.705,23,0.858217	344.515,170.592,22,0.761167	344.703,49.6389,19,0.913526	348.419,49.6447,19,0.883085	344.416,49.758,19,0.742698	352.184,49.8099,19,0.660025	344.464,178.239,23,0.519461	344.67,174.475,22,0.539821	344.422,174.388,22,0.576879	340.79,178.264,23,0.564616	340.664,178.276,23,0.554113	337.034,174.458,23,0.493483
1712928079.94844	0	348.246,53.3923,19,0.895811	344.735,72.4249,19,0.994446	336.929,72.3956,19,0.890345	321.9,95.0667,21,0.882791	318.248,114.024,22,0.862789	356.014,72.4674,19,0.874133	370.988,98.6693,21,0.854329	367.253,110.241,22,0.833493	344.58,113.881,20,0.892878	336.982,110.234,20,0.846525	337.024,147.949,22,0.765581	340.714,170.579,23,0.733701	348.456,113.93,20,0.886209	344.722,151.671,22,0.871238	344.493,170.636,23,0.811706	344.699,49.6466,19,0.921685	348.436,49.6482,19,0.890385	344.4,49.7594,19,0.755245	352.197,53.3736,19,0.654212	344.435,181.962,22,0.564466	344.629,174.543,22,0.587227	344.392,174.452,22,0.627913	340.781,181.951,22,0.607991	337.053,181.935,22,0.595517	336.992,174.484,23,0.527385
1712928079.995715	0	348.27,53.4162,19,0.895632	344.747,72.4278,19,0.994356	336.955,72.3945,19,0.896242	321.924,95.0287,21,0.882742	318.272,113.926,22,0.867896	359.643,72.4714,19,0.875953	370.977,98.6504,22,0.853038	367.219,110.204,21,0.833572	344.591,110.296,20,0.90132	337.01,110.198,20,0.858169	337.034,147.919,22,0.777463	340.689,167.079,22,0.752183	348.463,113.88,20,0.893822	344.752,147.992,22,0.878544	344.513,170.607,22,0.823534	344.728,49.6677,19,0.922748	348.46,49.6723,19,0.88464	344.42,49.7753,19,0.768276	352.227,53.4075,19,0.645534	344.458,178.253,23,0.570431	344.651,174.469,22,0.592631	344.419,174.407,22,0.635352	340.784,181.923,22,0.624564	337.039,178.272,23,0.612094	336.978,174.408,23,0.555006
1712928080.042326	0	348.238,53.4421,19,0.884924	344.741,72.416,19,0.990025	337.006,72.3841,19,0.885845	321.972,95.0046,21,0.861373	318.267,113.95,21,0.863677	355.947,72.4772,19,0.872332	370.913,95.0887,20,0.825514	363.511,110.168,20,0.811265	344.561,110.28,20,0.892085	337,110.183,20,0.845917	337.065,144.239,22,0.753226	340.757,167.007,22,0.686965	348.397,113.864,20,0.884205	344.708,147.945,22,0.862579	344.509,167.021,22,0.77793	344.714,49.6876,19,0.91087	348.414,49.6988,19,0.874337	344.422,49.8014,19,0.744657	352.15,53.4166,19,0.642463	344.46,178.186,22,0.533183	344.67,174.392,22,0.564935	344.413,170.796,22,0.589496	340.821,174.522,23,0.568807	340.721,178.152,23,0.556691	337.045,170.78,23,0.492515
1712928080.089002	0	348.248,53.4021,19,0.894868	344.751,72.4057,19,0.995073	336.955,72.3735,19,0.889715	321.894,95.0234,21,0.880289	318.276,113.984,22,0.856361	356.019,72.4597,19,0.87434	370.982,95.0959,21,0.8477	367.21,110.174,21,0.829998	344.574,110.284,20,0.901356	336.977,110.185,20,0.855013	337.039,147.899,22,0.776788	340.718,170.571,23,0.739194	348.443,113.866,20,0.894365	344.723,147.961,22,0.87552	344.492,170.614,23,0.816347	344.713,49.6546,19,0.920893	348.434,49.6622,19,0.887011	344.421,49.7579,19,0.754637	352.197,53.3836,19,0.659426	344.435,181.93,22,0.567105	344.633,174.514,22,0.589752	344.398,174.427,22,0.629091	340.802,181.927,22,0.606163	337.078,181.922,22,0.596711	336.996,174.463,23,0.534772
